CR004177015,SPE,SME_SPE_001,0045334398,SMEDS_983A_2020 MS14677,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 75,770 ",
CR004264093,SPE,SME_SPE_004,0049200993,PABX/0078/2022/OTH/SLT/CH MS14550,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 96,157 ",
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_DH Bentota MS13710,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 331,636 "," 14,945.31 "
CR004417416,SPW,SME_SPW_004,0048642933,SMEDS_1582_05_2021 MS13892,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 922,036 "," 40,088.50 "
CR003012324,SPW,SME_SPW_001,0048508507,Netowrking Solution_DH Nagaoda MS13701,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 276,960 "," 12,481.34 "
CR004257898,SPW,SME_SPW_001,0048598598,PABX_Morawaka BH MS13812,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 524,900 "," 64,670.25 "
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_PMCU Haburugala MS13725,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 170,269 "," 7,673.22 "
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_PMCU Kosgoda MS13727,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 165,533 "," 7,459.82 "
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_DH Bentota MS13712,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 255,047 "," 11,493.78 "
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_Pilana MS13709,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 173,764 "," 7,830.74 "
CR004415454,SPW,SME_SPW_003,0048611584,SMEDS_1594_41_2021 MS13828,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 916,573 "," 39,851.00 "
CR004414059,UVA,SME_UVA_001,0048691035,SMEDS_1351D_064_2021 MS14031,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 917,280 "," 39,881.75 "
CR004414067,UVA,SME_UVA_003,0048625298,SMEDS_1351D_070_2021 MS13837,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 925,434 "," 40,236.25 "
CR004414063,UVA,SME_UVA_002,0048632631,SMEDS/1351D/007/2021 MS14299,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 919,097 "," 39,960.75 "
CR004374531,UVA,SME_UVA_003,0048132201,SMEDS_1351_110_2021 MS14278,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 40,768 "," 1,772.50 "
CR004374531,UVA,SME_UVA_003,004809118X,SMEDS_1353A_053_2021 B MS14269,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 44,390 "," 1,930.00 "
CR004434272,WPC2,SME_WPC2_001,0048908803,SMEDS_2105_2021 MS14069,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 919,080 "," 39,960.00 "
CR004425211,WPC2,SME_WPC2_005,0048768270,Wifi Solution MS14314,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 913,747 "," 65,184.99 "
CR003667077,WPC2,SME_WPC2_001,0042078509,MS14678 MS14678,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 77,436 ",
CR000023168,WPC2,SME_WPC2_001,000023168X,MS13948,,,Infrastructure Initial,SME Solution,DATA," 130,829 "," 5,688.23 "
CR004085762,WPC2,SME_WPC2_003,004873467X,MS14118,,,Infrastructure Initial,SME Solution,DATA," 289,800 ",
CR004085762,WPC2,SME_WPC2_003,004873467X,MS14119,,,Infrastructure Initial,SME Solution,DATA," 471,600 ",
CR004085762,WPC2,SME_WPC2_003,004873467X,MS14122,,,Infrastructure Initial,SME Solution,DATA," 102,600 ",
CR002729395,WPC2,SME_WPC2_005,29118427,MS14696,,,Infrastructure Initial,SME Solution,DATA," 8,548.07 ",
CR001049365,WPE,SME_WPE_001,0049183625,PABX/0070/2022/OTH/SLT/CH MS14493,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 92,834 ",
CR004378767,WPN,SME_WPN_006,004806853X,SMED_1451_2021 MS13190,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 132,517 "," 7,375.95 "
CR000364584,WPN,SME_WPN_004,0048548080,SMEDS_3120_2021 MS13695,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 125,810 "," 5,470.00 "
CR004367991,WPN,SME_WPN_006,004791429X,SMEDS_1452_2021 MS13038,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 132,517 "," 7,375.95 "
CR004363258,WPN,SME_WPN_006,0047846820,SMEDS_1419_2021 MS12955,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 107,093 "," 4,656.24 "
CR004365357,WPN,SME_WPN_006,0047876579,PABX/0130/2022/OTH/SLT/CH MS14710,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 10,465 ",
CR004440267,WPNE,SME_WPNE_006,0048997732,SMEDS_0257_2022 MS14452,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 912,755 "," 39,685.00 "
