2023-04-12 13:39:15,282-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-12 14:15:14,888-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-12 14:15:29,532-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '94113290890', 'offeringList': [{'offeringId': '1940129273', 'purchaseSeq': 'null'}]}
2023-04-12 14:15:34,648-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '94113290890', 'offeringList': [{'offeringId': '1940129273', 'purchaseSeq': 'null'}]}
2023-04-12 14:18:54,275-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '94113290890', 'offeringList': [{'offeringId': '1940129273', 'purchaseSeq': 'null'}]}
2023-04-12 14:18:58,873-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '94113290890', 'offeringList': [{'offeringId': '1940129273', 'purchaseSeq': 'null'}]}
2023-04-12 14:36:18,375-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '94113290890', 'offeringList': [{'offeringId': '1940129273', 'purchaseSeq': 'null'}]}
2023-04-12 14:36:24,195-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '94113290890', 'offeringList': [{'offeringId': '1940129273', 'purchaseSeq': 'null'}]}
2023-04-12 14:36:36,449-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '94113290890', 'offeringList': [{'offeringId': '1940129273', 'purchaseSeq': 'null'}]}
2023-04-17 09:10:12,239-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-17 09:10:23,652-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-17 09:10:34,560-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-17 09:10:42,019-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-17 09:16:01,092-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-17 09:16:08,742-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-18 09:27:53,997-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-18 10:10:55,551-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000012', 'purchaseSeq': 'null'}]}
2023-04-18 11:19:57,417-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-18 11:19:59,450-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-18 11:20:05,841-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-18 11:20:17,793-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-18 11:20:24,904-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-18 11:29:51,630-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-18 11:29:53,188-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-18 11:32:44,990-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-18 13:06:50,890-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-18 13:06:58,166-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '526339248', 'purchaseSeq': 'null'}]}
2023-04-18 16:25:59,816-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000012', 'purchaseSeq': 'null'}]}
2023-04-18 16:26:00,625-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000012', 'purchaseSeq': 'null'}]}
